ID	COMP ID	LAST	FIRST	GENDER	YEAR	PREFERENCE	Q1	Q2	HOUSE
20409	ssg8xi	Culpepper	Myrtis	F	Rising Second Year	1	"t blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	"t blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	Hoxton
20410	qq6ao	Seawright	Serita	F	Upperclass Student	3	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Hoxton
20411	era9xx	Neuendorf	Eunice	F	Upperclass Student	1	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Munford
20412	iu8se	Arter	Issac	M	Rising Second Year	2	"a neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"a neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Lewis
20413	ck4ee	Garibaldi	Mariah	F	Rising Second Year	1	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Gwathmey
20414	gsk3ph	Riordan	Clora	F	Rising Second Year	1	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa no"	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa no"	Lewis
20415	dmh8jd	Butters	Bobby	M	Upperclass Student	1	"mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus "	"mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus "	Gwathmey
20416	nz2dc	Super	Katharine	F	Upperclass Student	3	" quis turpis vitae magna commodo rutrum at ac lectus. In orci massa, rhoncus eget elementum vitae, rutrum et enim. Mauris tincidunt maximus arcu. Nunc sed placerat ipsum. Suspendisse elit massa, efficitur sit amet magna quis, malesuada dapibus diam. Fusce vel lacus eu turpis imperdiet blandit. In massa eros, ornare eget blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	" quis turpis vitae magna commodo rutrum at ac lectus. In orci massa, rhoncus eget elementum vitae, rutrum et enim. Mauris tincidunt maximus arcu. Nunc sed placerat ipsum. Suspendisse elit massa, efficitur sit amet magna quis, malesuada dapibus diam. Fusce vel lacus eu turpis imperdiet blandit. In massa eros, ornare eget blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	Lewis
20417	ei6so	Laguna	Marx	M	Rising Second Year	2	"t blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	"t blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	Gwathmey
20418	si3af	Carbonell	Francie	F	Upperclass Student	3	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Lewis
